,Unnamed: 0,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender,race,api,black,hispanic,white
3144,3347, Thanassis Avgerinos,https://www.crunchbase.com/person/thanassis-avgerinos,14873831.04774943,3701104719918312390,True,Male,white,0.048406634,0.0014013877,0.1482505,0.8019415
3145,3348, David Brumley,https://www.crunchbase.com/person/david-brumley,14873831.04774943,9155113545273250460,True,Male,white,0.004800485,0.06674504,0.022814875,0.9056396
3146,3349, Alexandre Rebert,https://www.crunchbase.com/person/alexandre-rebert,14873831.04774943,6918359905923543534,True,Male,white,0.0056050047,0.11721821,0.018582828,0.85859394
3147,3351, Hayes Metzger,https://www.crunchbase.com/person/hayes-metzger,14857752.215037322,8709771285844903515,True,Male,white,0.0042491783,0.003856133,0.014077922,0.97781676
3148,3352, Dan Lynch,https://www.crunchbase.com/person/dan-lynch-3,14857752.215037322,6899841190135296443,True,Male,white,0.012000859,0.10920442,0.021019157,0.8577756
3149,3353, Gordy Ferguson,https://www.crunchbase.com/person/gordy-ferguson,14833710.345285416,8485216578310390060,True,Male,white,0.0030833103,0.13135393,0.017317029,0.8482457
3150,3354, Anatoli Gorchet,https://www.crunchbase.com/person/anatoli-gorchetchnikov,14828392.474026002,8153542354328198453,True,Male,white,0.016545622,0.09786196,0.05851624,0.8270762
3151,3355, Massimiliano Versace,https://www.crunchbase.com/person/massimiliano-versace,14828392.474026002,807138905455592257,True,Male,white,0.118769616,0.06753459,0.03559054,0.77810526
3152,3356, Heather Ames,https://www.crunchbase.com/person/heather-ames,14828392.474026002,2485463052172119646,True,Female,white,0.0039773853,0.24703556,0.022283867,0.72670317
3153,3357, Boris Blanche,https://www.crunchbase.com/person/boris-blanche,14816599.923722353,5715551412894495616,True,Male,white,0.057624795,0.062816635,0.38730118,0.4922573
3154,3358, Will Coleman,https://www.crunchbase.com/person/will-coleman-2,14816599.923722353,6347979239563916671,True,Male,white,0.0018743023,0.033598684,0.014764626,0.94976234
3155,3359, Patrice Crisinel,https://www.crunchbase.com/person/patrice-crisinel,14816599.923722353,5478853410547170745,True,Male,white,0.007934812,0.0064872666,0.016672926,0.968905
3156,3360, Leila Janah,https://www.crunchbase.com/person/leila-chirayath-janah,14800000.0,7209549322502567668,True,Female,api,0.42330837,0.15958433,0.015475632,0.40163168
3157,3361, Peter Wang,https://www.crunchbase.com/person/peter-wang-2,14783075.81034972,687710580169833749,True,Male,white,0.24760763,0.03567402,0.020180942,0.69653744
3158,3362, Hugo Shi,https://www.crunchbase.com/person/hugo-shi,14783075.81034972,4940402402940370803,True,Male,api,0.6883202,0.012530982,0.004049935,0.2950989
3159,3363, Travis Oliphant,https://www.crunchbase.com/person/travis-oliphant,14783075.81034972,8925145839281787211,True,Male,white,0.0049922583,0.0760957,0.01604741,0.9028646
3160,3365, Paul Marone,https://www.crunchbase.com/person/gary-kurtz,14773696.237827465,3054858267645871288,True,Male,white,0.006813519,0.031922143,0.026479438,0.9347849
3161,3367, Tess M. Vondra,https://www.crunchbase.com/person/tess-m-vondra,14773696.237827465,954580586133793792,True,Female,white,0.04421825,0.0053028953,0.00848604,0.9419928
3162,3371,William Kirby,https://www.crunchbase.com/person/william-kirby,14773696.237827465,3671663490933675785,True,Male,white,0.0018662135,0.056659043,0.016751898,0.9247229
3163,3372, Kimon Angelides,https://www.crunchbase.com/person/kimon-angelides,14758098.657421594,4386415528187184717,True,Male,white,0.27011842,0.006079797,0.323455,0.4003468
3164,3373, Dillon Erb,https://www.crunchbase.com/person/dillon-erb,14747871.505166385,6872416550049536780,True,Male,white,0.0020926944,0.010063889,0.017960167,0.9698833
3165,3374, Daniel Kobran,https://www.crunchbase.com/person/daniel-kobran,14747871.505166385,236748293975812889,True,Male,white,0.00663104,0.0042970595,0.013754649,0.97531724
